transaction_id,recipient_id,amount,merchant_category,device_id,location,latitude,longitude,time,txn_status,is_fraud,time_since_last_txn
e6a994b4-953a-49c3-b8d7-5791a31e123b,bakshianvi@upi,135.02,food,1a3d1fa7-bc89-40a9-a3b8-c1e9392456de,Madurai,9.920098,78.112591,2026-02-10 16:26:03.675548,success,0,1.0
0e4fe80c-2e88-479a-b87d-a466d7085bc6,samiazad@upi,1349.05,food,815ef6d1-3b8f-4a18-b7f8-a88b17fc695a,Chennai,13.08451,80.261336,2026-02-10 16:28:38.675548,success,0,155.0
fa66b434-e6bb-4bd8-9464-7f461cd3c356,issaconi@upi,530.09,groceries,cf36d58b-4737-4190-96da-1dac72ff5d2a,Chennai,13.083925,80.27502,2026-02-10 16:36:47.675548,success,0,489.0
b1ce553a-bdb4-45cf-9e58-77dafe1f09c5,duttapahal@upi,609.8,groceries,f50bea63-371e-4d7b-a7cd-813047229389,Chennai,13.087876,80.263893,2026-02-10 16:44:59.675548,success,0,492.0
9458b6d3-af03-4664-9490-76dbc11b1780,harsh16@upi,550.89,fuel,9a8dca03-580d-4b71-98f5-64135be6128e,Madurai,9.917244,78.117399,2026-02-10 16:52:06.675548,success,0,427.0
3d12f9ef-37ed-4904-b3ab-9c8c9fd789c0,caleb78@upi,1890.43,utilities,142c3fe8-60e7-4113-ac1b-8ca1f91e1d4c,Chennai,13.087295,80.271425,2026-02-10 16:59:33.675548,success,0,447.0
5ddb2109-b293-4632-ac44-6128da5c904b,janaki93@upi,328.52,groceries,3a578a8e-a948-4d99-8bbb-259911ce5dd2,Trichy,10.798209,78.701933,2026-02-10 17:03:49.675548,success,0,256.0
7a793969-d394-4c34-9915-7878c1e4922d,fariq31@upi,164.15,food,d58842de-a2bc-472f-b412-b29347294739,Coimbatore,11.022261,76.965504,2026-02-10 17:08:47.675548,success,0,298.0
b4be8503-db5f-41e0-b965-454863c2e339,nicholas55@upi,4111.2,travel,efc89849-b3aa-4efe-8458-a885ab9099a4,Salem,11.667014,78.143297,2026-02-10 17:16:06.675548,success,0,439.0
caa95649-aae3-487d-bf8f-0743d917cb22,gargyash@upi,3416.84,ecommerce,fd5166e6-451b-4cf3-a123-fdf77656af72,Chennai,13.084883,80.264123,2026-02-10 17:21:16.675548,success,0,310.0
9d165c9b-eb39-4d8d-8d45-c54e3bbaeeba,ektabhalla@upi,410.48,groceries,50c187fc-ce17-4b4e-8837-b8a3d261a7ab,Trichy,10.784892,78.701186,2026-02-10 17:23:13.675548,success,0,117.0
a801a6fe-6473-489a-bf97-b947f3825840,eloyal@upi,80.5,groceries,e059a0ee-9132-463e-b162-87e4e9c349e0,Madurai,9.923223,78.111124,2026-02-10 17:29:35.675548,success,0,382.0
29eb9782-a3b6-4724-8cf9-8685f0d32c2b,simon76@upi,524.27,groceries,23bed01d-43cf-4fde-a493-3b83757750a9,Salem,11.657157,78.138793,2026-02-10 17:35:04.675548,success,0,329.0
d8bc8bcb-250c-4ffa-8ec8-ac2af85b7ac4,adyasangha@upi,699.81,food,ff50bde4-3825-47b8-9cab-cc97663f1c97,Trichy,10.788488,78.699086,2026-02-10 17:38:25.675548,success,0,201.0
af55bcbb-1c97-4f66-9864-c447b9a3e01f,yashodharatak@upi,636.37,ecommerce,1c11f735-dc71-4d96-8c0f-d195c17af08a,Chennai,13.089922,80.263757,2026-02-10 17:42:08.675548,success,0,223.0
41bd83a4-872e-4b5e-8ba5-49b74e81b60a,nathanielsami@upi,1382.05,utilities,988c24c9-61b1-4d22-a280-1c4510435a10,Chennai,13.080395,80.272618,2026-02-10 17:51:07.675548,success,0,539.0
8a6dd806-f90d-4cda-bd64-caa8681e6aef,qwadhwa@upi,4861.18,ecommerce,ae270da7-02f0-4b90-b143-262fdc5c0eed,Chennai,13.086306,80.262991,2026-02-10 17:56:40.675548,success,0,333.0
e158b97e-2935-4fe9-8730-272b1602f428,yadavamara@upi,1152.49,utilities,6f4cc69a-4b22-4308-9c8e-aee95715bd6f,Madurai,9.923895,78.118874,2026-02-10 18:02:09.675548,success,0,329.0
d2ed76a4-de90-4ef2-acd6-3ccf0eff9878,sudikshaaggarwal@upi,6167.11,healthcare,f8cda88b-436d-46e2-b83c-fe0be037e5ed,Trichy,10.798753,78.71211,2026-02-10 18:08:14.675548,success,0,365.0
